侧别,指标,聚合,井组日数,缺失率,零值率_非空,相邻日绝对变化中位数,平均组内CV
注汽,INJ_VOL_DAILY,sum,27411,0.36875706833023236,0.015084089464254753,0.0,0.44041023705027066
注汽,INJ_VOL_DAILY,mean,27411,0.36875706833023236,0.015084089464254753,0.0,0.3689650408710128
注汽,INJ_VOL_DAILY,max,27411,0.36875706833023236,0.015084089464254753,0.0,0.3607800197782608
注汽,INJ_VOL_DAILY,min,27411,0.36875706833023236,0.02132578165636017,0.0,0.3979541449670073
注汽,INJ_VOL_DAILY,std,27411,0.36875706833023236,0.895047101658672,0.0,5.072344807034287
注汽,WH_TEMP,sum,27411,0.0977709678596184,0.0,0.0,0.0035402673123712345
注汽,WH_TEMP,mean,27411,0.0977709678596184,0.0,0.0,0.0012244213431345456
注汽,WH_TEMP,max,27411,0.0977709678596184,0.0,0.0,0.0
注汽,WH_TEMP,min,27411,0.0977709678596184,0.0,0.0,0.0
注汽,WH_TEMP,std,27411,0.0977709678596184,0.6258946261776718,0.0,5.189766953918372e-16
注汽,STEAM_INJ_PRES,sum,27411,0.006931523840793842,0.0,0.0,0.045556654797861376
注汽,STEAM_INJ_PRES,mean,27411,0.006931523840793842,0.0,0.0,0.007823506519595895
注汽,STEAM_INJ_PRES,max,27411,0.006931523840793842,0.0,0.0,0.0
注汽,STEAM_INJ_PRES,min,27411,0.006931523840793842,0.0,0.0,0.0
注汽,STEAM_INJ_PRES,std,27411,0.006931523840793842,0.5754013445501635,0.0,0.048793927924853715
采出,LIQ_PROD_DAILY,sum,40656,0.06601731601731602,0.0,0.5999999999999943,0.520593219606212
采出,LIQ_PROD_DAILY,mean,40656,0.06601731601731602,0.0,0.40000000000000213,0.5266655964151926
采出,LIQ_PROD_DAILY,max,40656,0.06601731601731602,0.0,0.3999999999999915,0.520593219606212
采出,LIQ_PROD_DAILY,min,40656,0.06601731601731602,5.267038870746866e-05,0.29999999999999716,0.587431567668551
采出,LIQ_PROD_DAILY,std,40656,0.06601731601731602,0.8223954492784157,0.0,1.3337414698470536
采出,OIL_PROD_DAILY,sum,40656,0.06601731601731602,5.267038870746866e-05,0.26,1.0582055444735472
采出,OIL_PROD_DAILY,mean,40656,0.06601731601731602,5.267038870746866e-05,0.21999999999999997,1.0646339727184828
采出,OIL_PROD_DAILY,max,40656,0.06601731601731602,5.267038870746866e-05,0.22999999999999998,1.0646339727184828
采出,OIL_PROD_DAILY,min,40656,0.06601731601731602,7.900558306120299e-05,0.14000000000000012,1.2363788178102375
采出,OIL_PROD_DAILY,std,40656,0.06601731601731602,0.8223164436953545,0.0,1.652960585389573
采出,WATER_CUT,sum,40656,0.06601731601731602,0.0,0.10000000000000853,0.17034020079000417
采出,WATER_CUT,mean,40656,0.06601731601731602,0.0,0.09666666666667822,0.12222278313328144
采出,WATER_CUT,max,40656,0.06601731601731602,0.0,0.0,0.1230539844140151
采出,WATER_CUT,min,40656,0.06601731601731602,0.0,0.0,0.1286934269438672
采出,WATER_CUT,std,40656,0.06601731601731602,0.8248709575476667,0.0,1.4919231570307832
采出,WH_TEMP,sum,40656,0.06601731601731602,0.0,1.0,0.21455117723494938
采出,WH_TEMP,mean,40656,0.06601731601731602,0.0,1.0,0.16544008155148254
采出,WH_TEMP,max,40656,0.06601731601731602,0.0,1.0,0.16368203250867058
采出,WH_TEMP,min,40656,0.06601731601731602,0.0,1.0,0.17562652094790246
采出,WH_TEMP,std,40656,0.06601731601731602,0.8322448119667123,0.0,1.3325133420607211
采出,MAX_TUBING_PRES,sum,40656,0.003074576938213302,0.06316153068022008,0.010000000000000009,0.4748119398012952
采出,MAX_TUBING_PRES,mean,40656,0.003074576938213302,0.06316153068022008,0.0050000000000000044,0.4832432916892384
采出,MAX_TUBING_PRES,max,40656,0.003074576938213302,0.06316153068022008,0.010000000000000009,0.43980430294361356
采出,MAX_TUBING_PRES,min,40656,0.003074576938213302,0.4453134637684735,0.0,0.8193647545806427
采出,MAX_TUBING_PRES,std,40656,0.003074576938213302,0.5542671041918531,0.0,0.9495751151684593
