配置,窗口,序列,取绝对相关,注汽前向填充,有效覆盖率,Spearman,有效样本MAE,有效样本分段准确率,有效样本官方分,缺失回退后官方分
raw_abs_injffill_W90,90,raw,True,True,0.8747109634551495,0.2078010999245815,14.59290206921698,0.6128649995442254,44.21694953273816,42.80599935752323
raw_abs_injffill_W60,60,raw,True,True,0.8896478405315614,0.18518412947680402,14.789053864308547,0.5949571296268634,43.41117021494975,41.95153581304765
raw_abs_W60,60,raw,True,False,0.7388172757475083,0.14909725387275388,15.535002518166774,0.5818763939851788,42.351899770585085,40.55853780338365
raw_abs_injffill_W30,30,raw,True,True,0.8440930232558139,0.12326068145432337,16.863755156018765,0.5785761516420542,42.01324726270321,40.50091746689693
raw_abs_W90,90,raw,True,False,0.6938737541528239,0.12400709966299923,15.961427969510092,0.591603784425633,42.79051752748547,40.40647643427069
raw_abs_W30,30,raw,True,False,0.7668571428571429,0.12134952118893098,16.954701417530238,0.5743250268602919,41.67396345356055,40.04232962413432
raw_signed_W90,90,raw,False,False,0.6938737541528239,0.07778185522927894,17.186386792814186,0.5845558662427701,41.985123327175046,39.82247132129626
raw_signed_W60,60,raw,False,False,0.7388172757475083,0.06313699085633324,17.12439743866465,0.5689617958126484,41.1774276402484,39.66622788131123
raw_abs_injffill_W15,15,raw,True,True,0.7836810631229236,0.09194887125821678,17.60533812656854,0.5601980600963169,40.75314942856382,39.57033485117772
rate_abs_W30,30,rate,True,False,0.7386843853820598,0.07676049748486057,17.465261036951752,0.5707912064188825,41.36407484803159,39.56031332065714
diff_abs_W60,60,diff,True,False,0.7235348837209302,0.06368744373872579,16.96451529956287,0.5696286228556735,41.22907580642319,39.50028320980054
diff_abs_W30,30,diff,True,False,0.7387109634551495,0.07898845759770641,17.33107865006836,0.5690796574800316,41.26188712167844,39.485767092943576
rate_abs_W60,60,rate,True,False,0.7235348837209302,0.06008433734050389,17.24685008999743,0.5674613378393271,41.0894369666455,39.39861288761438
raw_abs_W15,15,raw,True,False,0.7462857142857143,0.08799152847094728,17.572954877310444,0.5563232308842907,40.482448578132185,39.3867480694244
raw_signed_W30,30,raw,False,False,0.7668571428571429,0.08573056849448712,17.28114927390566,0.5578276089141511,40.61362152067079,39.22551686249907
diff_abs_W15,15,diff,True,False,0.726936877076412,0.0629480987320068,17.671127198274288,0.5560674198383971,40.46771936477728,39.189809479635755
raw_signed_W15,15,raw,False,False,0.7462857142857143,0.07099601333299378,17.73353751914242,0.5493429253178532,40.04354705163326,39.05858780921291
rate_abs_W15,15,rate,True,False,0.7269102990033223,0.04720814938185564,17.95733089579525,0.5522120658135283,40.2323585245874,39.01770300294986
raw_abs_injffill_W180,180,raw,True,True,0.455734219269103,0.10180477362713376,16.81495305301219,0.5608561264361113,40.56817569814728,38.87334534971789
rate_abs_W90,90,rate,True,False,0.68178073089701,0.011149236058607768,17.82683611414315,0.5632699204740371,40.62893400477662,38.718094242787444
diff_abs_W90,90,diff,True,False,0.68178073089701,0.029846895223553646,17.474426945267425,0.5596054888507719,40.416243176371744,38.57357638973346
raw_abs_W180,180,raw,True,False,0.3475614617940199,0.09312689519849292,16.906324080446584,0.5554790854171446,40.16969493307645,38.316846160362545
raw_signed_W180,180,raw,False,False,0.3475614617940199,0.04710261703407269,17.80140705054676,0.5536438020952817,40.15771528624584,38.3134235205211
diff_abs_W180,180,diff,True,False,0.33533554817275746,0.060793687554158045,16.936117936117935,0.5234207814852976,38.09005421231289,37.60143418261606
rate_abs_W180,180,rate,True,False,0.33533554817275746,-0.026608241470529023,17.771815804073867,0.5184275184275184,37.72735492965819,37.47938865734936
