WELL_GROUP_NAME,INJ_INDICATOR,PROD_INDICATOR,样本数,平均lag,中位lag,short比例,lag标准差,唯一lag数
G001,INJ_VOL_DAILY,LIQ_PROD_DAILY,12,9.583333333333334,0.0,0.6666666666666666,16.81697374858527,5
G001,INJ_VOL_DAILY,MAX_TUBING_PRES,12,9.0,3.0,0.6666666666666666,13.031430536137687,5
G001,INJ_VOL_DAILY,OIL_PROD_DAILY,12,9.666666666666666,1.5,0.6666666666666666,15.322789523708753,8
G001,INJ_VOL_DAILY,WATER_CUT,12,6.583333333333333,0.5,0.75,11.595126980631548,7
G001,INJ_VOL_DAILY,WH_TEMP,12,10.916666666666666,2.5,0.6666666666666666,15.848477605885128,8
G002,INJ_VOL_DAILY,LIQ_PROD_DAILY,97,0.26804123711340205,0.0,0.9896907216494846,2.6399000293474097,2
G002,INJ_VOL_DAILY,MAX_TUBING_PRES,97,10.185567010309278,6.0,0.10309278350515463,7.610751573852634,11
G002,INJ_VOL_DAILY,OIL_PROD_DAILY,97,7.896907216494846,0.0,0.711340206185567,12.560258536420271,15
G002,INJ_VOL_DAILY,WATER_CUT,97,7.618556701030927,0.0,0.7216494845360825,12.43771423514743,15
G002,INJ_VOL_DAILY,WH_TEMP,97,24.1340206185567,43.0,0.4536082474226804,20.528754663672053,11
G003,INJ_VOL_DAILY,LIQ_PROD_DAILY,97,6.546391752577319,1.0,0.7319587628865979,10.16634625713345,15
G003,INJ_VOL_DAILY,MAX_TUBING_PRES,97,14.54639175257732,6.0,0.44329896907216493,17.983221704872513,14
G003,INJ_VOL_DAILY,OIL_PROD_DAILY,97,6.041237113402062,3.0,0.711340206185567,7.187833362954951,11
G003,INJ_VOL_DAILY,WATER_CUT,97,9.195876288659793,3.0,0.6597938144329897,12.897544319929125,16
G003,INJ_VOL_DAILY,WH_TEMP,97,12.556701030927835,0.0,0.5567010309278351,14.624443773015885,12
G004,INJ_VOL_DAILY,LIQ_PROD_DAILY,97,10.938144329896907,3.0,0.5051546391752577,11.017802292378997,14
G004,INJ_VOL_DAILY,MAX_TUBING_PRES,97,7.206185567010309,1.0,0.5979381443298969,12.910701427118752,13
G004,INJ_VOL_DAILY,OIL_PROD_DAILY,97,23.31958762886598,26.0,0.08247422680412371,9.488530786947225,20
G004,INJ_VOL_DAILY,WATER_CUT,97,18.22680412371134,28.0,0.422680412371134,16.419947951246666,14
G004,INJ_VOL_DAILY,WH_TEMP,97,18.701030927835053,15.0,0.4020618556701031,17.975194104453603,18
G005,INJ_VOL_DAILY,LIQ_PROD_DAILY,98,15.785714285714286,3.0,0.5204081632653061,16.516939133826078,16
G005,INJ_VOL_DAILY,MAX_TUBING_PRES,98,34.275510204081634,40.0,0.12244897959183673,15.566803571971615,11
