WELL_GROUP_NAME,样本数,平均lag,中位lag,short比例,label标准差,最早标签日,最晚标签日
G001,60,9.15,1.5,0.6833333333333333,14.217231130460991,2025-03-20,2025-10-31
G002,485,10.02061855670103,2.0,0.5958762886597938,14.814960177845318,2025-03-20,2025-10-31
G003,485,9.777319587628867,3.0,0.6206185567010309,13.467434744065752,2025-03-20,2025-10-31
G004,485,15.678350515463917,15.0,0.4020618556701031,15.042764293977283,2025-03-20,2025-10-31
G005,490,25.353061224489796,35.0,0.2897959183673469,18.521524559288697,2025-03-20,2025-10-31
G006,40,14.65,20.0,0.425,14.21546647773077,2025-03-25,2025-10-31
G007,485,15.635051546391752,3.0,0.5092783505154639,16.790911805612772,2025-03-20,2025-10-31
G008,35,18.085714285714285,18.0,0.37142857142857144,14.569047424493572,2025-03-20,2025-06-20
G009,65,19.523076923076925,19.0,0.35384615384615387,16.698715980117015,2025-03-20,2025-10-31
G010,65,14.076923076923077,3.0,0.5230769230769231,16.57964460971994,2025-03-20,2025-10-31
G011,485,21.11958762886598,21.0,0.24536082474226803,14.727347356539711,2025-03-20,2025-10-31
G012,485,16.08041237113402,11.0,0.30721649484536084,14.173938947383117,2025-03-20,2025-10-31
G013,485,18.051546391752577,16.0,0.3402061855670103,16.563284058485472,2025-03-20,2025-10-31
G014,490,14.995918367346938,15.0,0.44081632653061226,13.801247078942461,2025-03-20,2025-10-31
G015,345,13.020289855072464,0.0,0.6753623188405797,18.735370879936248,2025-07-22,2025-09-30
G016,230,12.939130434782609,3.0,0.591304347826087,15.176566029434804,2025-03-20,2025-10-31
G017,65,16.692307692307693,13.0,0.36923076923076925,15.90491578581434,2025-03-20,2025-10-31
G018,65,15.615384615384615,3.0,0.5076923076923077,17.412004037886753,2025-03-20,2025-10-31
G019,65,15.123076923076923,3.0,0.5076923076923077,16.744875794839906,2025-03-20,2025-10-31
G020,65,9.138461538461538,2.0,0.6461538461538462,13.77710614919381,2025-03-20,2025-10-31
G021,445,14.901123595505618,6.0,0.48089887640449436,15.557337239319999,2025-03-20,2025-10-31
G022,485,19.18144329896907,17.0,0.41855670103092785,16.25812149178096,2025-03-20,2025-10-31
G023,355,9.087323943661971,3.0,0.7154929577464789,13.132989143201252,2025-07-25,2026-02-28
G024,770,7.9246753246753245,2.0,0.6649350649350649,12.617594129784313,2025-07-20,2026-02-28
G025,375,15.882666666666667,3.0,0.5093333333333333,17.31007228452682,2025-03-25,2026-02-28
G026,745,14.353020134228188,12.0,0.48456375838926175,14.779842951385,2025-03-20,2026-02-28
G027,410,20.029268292682925,27.0,0.37317073170731707,16.463462456005796,2025-03-25,2026-02-28
G028,390,20.128205128205128,24.0,0.21025641025641026,13.904151304749675,2025-03-20,2026-02-28
G029,50,9.16,2.5,0.66,12.244715644901264,2025-03-20,2025-09-30
G030,360,16.288888888888888,17.0,0.4722222222222222,14.347843058568161,2025-03-25,2026-02-28
