split,序列,间隔数,中位间隔,P90间隔,1天占比,2天占比,7天占比,30天占比,>1天占比
train,任意记录,56017,1.0,1.0,0.9997857793169931,0.0,0.0,0.0,0.00021422068300694432
train,INJ_VOL_DAILY,23518,1.0,1.0,0.989242282507016,0.000297644357513394,4.2520622501913426e-05,0.0,0.010757717492984098
train,INJ_LIQ_DAILY,0,,,0.0,0.0,0.0,0.0,0.0
train,WH_TEMP,42053,1.0,1.0,0.9993817325755594,0.00019023613059710365,0.0,0.0,0.0006182674244405869
train,STEAM_INJ_PRES,54945,1.0,1.0,0.9997815997815998,0.0,0.0,0.0,0.0002184002184002184
test,任意记录,4350,1.0,1.0,0.9997701149425288,0.0,0.0,0.0,0.00022988505747126436
test,INJ_VOL_DAILY,1921,1.0,1.0,0.984903695991671,0.004164497657470068,0.002082248828735034,0.001041124414367517,0.015096304008328995
test,INJ_LIQ_DAILY,0,,,0.0,0.0,0.0,0.0,0.0
test,WH_TEMP,1944,1.0,1.0,0.9953703703703703,0.0,0.0,0.0,0.004629629629629629
test,STEAM_INJ_PRES,4349,1.0,1.0,0.9997700620832375,0.0,0.0,0.0,0.00022993791676247414
