split,WELL_GROUP_NAME,WELL_NAME,首日,末日,跨度天数,有记录天数,INJ_VOL_DAILY_有效天数,INJ_VOL_DAILY_跨度覆盖率,INJ_LIQ_DAILY_有效天数,INJ_LIQ_DAILY_跨度覆盖率,WH_TEMP_有效天数,WH_TEMP_跨度覆盖率,STEAM_INJ_PRES_有效天数,STEAM_INJ_PRES_跨度覆盖率
train,G001,W025,2025-03-01,2025-09-24,208,208,23,0.11057692307692307,0,0.0,208,1.0,208,1.0
train,G002,W227,2025-03-01,2025-09-24,208,208,148,0.7115384615384616,0,0.0,208,1.0,208,1.0
train,G002,W232,2025-03-01,2025-09-24,208,208,23,0.11057692307692307,0,0.0,0,0.0,208,1.0
train,G003,W228,2025-03-01,2025-09-24,208,208,2,0.009615384615384616,0,0.0,208,1.0,208,1.0
train,G003,W233,2025-03-01,2025-09-24,208,208,148,0.7115384615384616,0,0.0,208,1.0,208,1.0
train,G004,W229,2025-03-01,2025-09-24,208,208,175,0.8413461538461539,0,0.0,208,1.0,208,1.0
train,G004,W234,2025-03-01,2025-09-24,208,208,30,0.14423076923076922,0,0.0,208,1.0,208,1.0
train,G005,W147,2025-03-01,2025-09-24,208,208,148,0.7115384615384616,0,0.0,208,1.0,208,1.0
train,G005,W148,2025-03-01,2025-09-24,208,208,43,0.20673076923076922,0,0.0,0,0.0,208,1.0
train,G005,W230,2025-03-01,2025-09-24,208,208,29,0.13942307692307693,0,0.0,208,1.0,208,1.0
train,G005,W231,2025-03-01,2025-09-24,208,208,191,0.9182692307692307,0,0.0,0,0.0,208,1.0
train,G006,W026,2025-03-01,2025-09-24,208,208,1,0.004807692307692308,0,0.0,0,0.0,208,1.0
train,G006,W027,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,208,1.0
train,G006,W028,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,208,1.0,208,1.0
train,G007,W149,2025-03-01,2025-09-24,208,208,148,0.7115384615384616,0,0.0,208,1.0,208,1.0
train,G007,W235,2025-03-01,2025-09-24,208,208,52,0.25,0,0.0,208,1.0,208,1.0
train,G007,W236,2025-03-01,2025-09-24,208,208,50,0.2403846153846154,0,0.0,208,1.0,208,1.0
train,G007,W237,2025-03-01,2025-09-24,208,208,152,0.7307692307692307,0,0.0,0,0.0,0,0.0
train,G008,W150,2025-03-01,2025-09-24,208,208,23,0.11057692307692307,0,0.0,0,0.0,208,1.0
train,G008,W238,2025-03-01,2025-09-24,208,208,18,0.08653846153846154,0,0.0,208,1.0,208,1.0
train,G009,W151,2025-03-01,2025-09-24,208,208,142,0.6826923076923077,0,0.0,208,1.0,208,1.0
train,G009,W239,2025-03-01,2025-09-24,208,208,18,0.08653846153846154,0,0.0,208,1.0,208,1.0
train,G010,W039,2025-03-01,2025-09-24,208,163,140,0.6730769230769231,0,0.0,163,0.7836538461538461,163,0.7836538461538461
train,G010,W088,2025-03-01,2025-09-24,208,208,2,0.009615384615384616,0,0.0,208,1.0,208,1.0
train,G010,W225,2025-05-30,2025-09-24,118,118,118,1.0,0,0.0,118,1.0,118,1.0
train,G011,W170,2025-03-01,2025-09-24,208,208,184,0.8846153846153846,0,0.0,208,1.0,208,1.0
train,G011,W172,2025-03-01,2025-09-24,208,162,142,0.6826923076923077,0,0.0,162,0.7788461538461539,162,0.7788461538461539
train,G011,W173,2025-03-01,2025-03-07,7,7,0,0.0,0,0.0,7,1.0,7,1.0
train,G011,W174,2025-03-01,2025-09-24,208,208,175,0.8413461538461539,0,0.0,208,1.0,208,1.0
train,G011,W251,2026-01-08,2026-01-22,15,15,14,0.9333333333333333,0,0.0,14,0.9333333333333333,15,1.0
train,G012,W042,2025-03-01,2025-03-12,12,12,0,0.0,0,0.0,12,1.0,12,1.0
train,G012,W089,2025-03-01,2025-09-24,208,208,175,0.8413461538461539,0,0.0,208,1.0,208,1.0
train,G012,W171,2025-03-01,2025-03-07,7,7,0,0.0,0,0.0,7,1.0,7,1.0
train,G012,W226,2025-05-30,2025-09-24,118,118,118,1.0,0,0.0,118,1.0,118,1.0
train,G012,W252,2026-01-08,2026-01-22,15,15,14,0.9333333333333333,0,0.0,14,0.9333333333333333,15,1.0
train,G013,W076,2025-03-01,2025-09-24,208,208,151,0.7259615384615384,0,0.0,208,1.0,208,1.0
train,G013,W119,2025-03-01,2025-09-24,208,208,155,0.7451923076923077,0,0.0,208,1.0,208,1.0
train,G013,W120,2025-03-01,2025-09-24,208,208,155,0.7451923076923077,0,0.0,208,1.0,208,1.0
train,G014,W045,2025-03-01,2025-03-07,7,7,0,0.0,0,0.0,7,1.0,7,1.0
train,G014,W128,2025-03-01,2025-09-24,208,208,137,0.6586538461538461,0,0.0,208,1.0,208,1.0
train,G014,W130,2025-04-22,2025-09-24,156,156,41,0.26282051282051283,0,0.0,0,0.0,156,1.0
train,G015,W024,2025-07-22,2025-08-04,14,14,13,0.9285714285714286,0,0.0,14,1.0,14,1.0
train,G016,W080,2025-03-01,2025-09-24,208,208,117,0.5625,0,0.0,208,1.0,208,1.0
train,G016,W121,2025-03-01,2025-09-24,208,208,103,0.4951923076923077,0,0.0,208,1.0,208,1.0
train,G016,W122,2025-03-01,2025-09-24,208,208,119,0.5721153846153846,0,0.0,208,1.0,208,1.0
train,G016,W123,2025-03-01,2025-09-24,208,208,56,0.2692307692307692,0,0.0,208,1.0,208,1.0
train,G017,W046,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,208,1.0,208,1.0
train,G017,W047,2025-04-05,2025-09-24,173,173,139,0.8034682080924855,0,0.0,0,0.0,173,1.0
train,G017,W048,2025-03-01,2025-09-24,208,208,37,0.1778846153846154,0,0.0,208,1.0,208,1.0
train,G017,W131,2025-03-01,2025-09-24,208,208,155,0.7451923076923077,0,0.0,208,1.0,208,1.0
train,G017,W132,2025-04-27,2025-09-24,151,151,35,0.23178807947019867,0,0.0,151,1.0,151,1.0
train,G017,W133,2025-03-01,2025-09-24,208,208,2,0.009615384615384616,0,0.0,208,1.0,208,1.0
train,G018,W055,2025-03-01,2025-09-24,208,208,118,0.5673076923076923,0,0.0,208,1.0,208,1.0
train,G018,W139,2025-03-01,2025-03-05,5,5,1,0.2,0,0.0,0,0.0,5,1.0
train,G018,W140,2025-03-01,2025-08-01,154,154,107,0.6948051948051948,0,0.0,0,0.0,154,1.0
train,G018,W141,2025-03-01,2025-09-24,208,208,53,0.2548076923076923,0,0.0,208,1.0,208,1.0
train,G019,W078,2025-03-01,2025-09-24,208,130,119,0.5721153846153846,0,0.0,130,0.625,130,0.625
train,G019,W125,2025-03-01,2025-09-24,208,153,119,0.5721153846153846,0,0.0,153,0.7355769230769231,153,0.7355769230769231
train,G019,W126,2025-03-01,2025-09-24,208,208,21,0.10096153846153846,0,0.0,208,1.0,208,1.0
train,G020,W049,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,208,1.0,208,1.0
