lag,样本数,占比
0,8662,0.23021926910299004
1,2269,0.060305647840531565
2,2026,0.053847176079734216
3,4863,0.12924916943521594
4,29,0.0007707641196013289
5,131,0.0034817275747508307
6,1315,0.03495016611295681
7,1,2.6578073089700997e-05
8,41,0.0010897009966777409
9,201,0.0053421926910299
10,273,0.007255813953488372
11,260,0.006910299003322259
12,271,0.00720265780730897
13,380,0.010099667774086378
14,438,0.011641196013289036
15,420,0.011162790697674419
16,480,0.012757475083056479
17,485,0.012890365448504984
18,461,0.01225249169435216
19,321,0.00853156146179402
20,326,0.008664451827242525
21,313,0.008318936877076412
22,432,0.01148172757475083
23,414,0.011003322259136212
24,486,0.012916943521594684
25,509,0.013528239202657808
26,498,0.013235880398671096
27,520,0.013820598006644518
28,583,0.015495016611295681
29,439,0.011667774086378738
30,480,0.012757475083056479
31,448,0.011906976744186046
32,514,0.013661129568106313
33,529,0.014059800664451828
34,436,0.011588039867109634
35,572,0.01520265780730897
36,419,0.011136212624584717
37,459,0.012199335548172758
38,518,0.013767441860465116
39,644,0.017116279069767443
40,789,0.020970099667774085
41,667,0.017727574750830564
42,509,0.013528239202657808
43,524,0.013926910299003323
44,1597,0.04244518272425249
45,673,0.017887043189368772
