split,WELL_GROUP_NAME,WELL_NAME,首日,末日,跨度天数,有记录天数,LIQ_PROD_DAILY_有效天数,LIQ_PROD_DAILY_跨度覆盖率,OIL_PROD_DAILY_有效天数,OIL_PROD_DAILY_跨度覆盖率,WATER_CUT_有效天数,WATER_CUT_跨度覆盖率,WH_TEMP_有效天数,WH_TEMP_跨度覆盖率,MAX_TUBING_PRES_有效天数,MAX_TUBING_PRES_跨度覆盖率
train,G001,W241,2025-03-01,2026-02-28,365,363,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,363,0.9945205479452055
train,G002,W242,2025-03-01,2026-02-28,365,363,337,0.9232876712328767,337,0.9232876712328767,337,0.9232876712328767,337,0.9232876712328767,361,0.989041095890411
train,G003,W243,2025-03-01,2026-02-28,365,363,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,362,0.9917808219178083
train,G004,W244,2025-03-01,2026-02-28,365,363,310,0.8493150684931506,310,0.8493150684931506,310,0.8493150684931506,310,0.8493150684931506,363,0.9945205479452055
train,G005,W245,2025-03-01,2026-02-28,365,363,338,0.9260273972602739,338,0.9260273972602739,338,0.9260273972602739,338,0.9260273972602739,363,0.9945205479452055
train,G006,W246,2025-03-01,2026-02-28,365,363,359,0.9835616438356164,359,0.9835616438356164,359,0.9835616438356164,359,0.9835616438356164,362,0.9917808219178083
train,G007,W247,2025-03-01,2026-02-28,365,363,359,0.9835616438356164,359,0.9835616438356164,359,0.9835616438356164,359,0.9835616438356164,359,0.9835616438356164
train,G008,W248,2025-03-01,2026-02-28,365,363,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,363,0.9945205479452055
train,G009,W249,2025-03-01,2026-02-28,365,363,352,0.9643835616438357,352,0.9643835616438357,352,0.9643835616438357,352,0.9643835616438357,359,0.9835616438356164
train,G010,W039,2025-03-01,2025-09-24,208,208,47,0.22596153846153846,47,0.22596153846153846,47,0.22596153846153846,47,0.22596153846153846,208,1.0
train,G010,W040,2025-03-01,2025-09-24,208,208,207,0.9951923076923077,207,0.9951923076923077,207,0.9951923076923077,207,0.9951923076923077,207,0.9951923076923077
train,G010,W088,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,208,1.0
train,G010,W225,2025-03-01,2025-09-24,208,208,5,0.02403846153846154,5,0.02403846153846154,5,0.02403846153846154,5,0.02403846153846154,207,0.9951923076923077
train,G010,W250,2025-03-01,2026-02-28,365,363,355,0.9726027397260274,355,0.9726027397260274,355,0.9726027397260274,355,0.9726027397260274,361,0.989041095890411
train,G011,W170,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,207,0.9951923076923077
train,G011,W172,2025-03-01,2025-09-24,208,208,6,0.028846153846153848,6,0.028846153846153848,6,0.028846153846153848,6,0.028846153846153848,206,0.9903846153846154
train,G011,W173,2025-03-01,2025-09-24,208,208,174,0.8365384615384616,174,0.8365384615384616,174,0.8365384615384616,174,0.8365384615384616,208,1.0
train,G011,W174,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,207,0.9951923076923077
train,G011,W251,2025-03-01,2026-02-28,365,363,350,0.958904109589041,350,0.958904109589041,350,0.958904109589041,350,0.958904109589041,362,0.9917808219178083
train,G012,W041,2025-03-01,2025-09-24,208,208,83,0.39903846153846156,83,0.39903846153846156,83,0.39903846153846156,83,0.39903846153846156,202,0.9711538461538461
train,G012,W042,2025-03-01,2025-09-24,208,208,14,0.0673076923076923,14,0.0673076923076923,14,0.0673076923076923,14,0.0673076923076923,207,0.9951923076923077
train,G012,W089,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,208,1.0
train,G012,W171,2025-03-01,2025-09-24,208,208,13,0.0625,13,0.0625,13,0.0625,13,0.0625,208,1.0
train,G012,W226,2025-03-01,2025-09-24,208,208,8,0.038461538461538464,8,0.038461538461538464,8,0.038461538461538464,8,0.038461538461538464,208,1.0
train,G012,W252,2025-03-01,2026-02-28,365,363,333,0.9123287671232877,333,0.9123287671232877,333,0.9123287671232877,333,0.9123287671232877,361,0.989041095890411
train,G013,W076,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,208,1.0
train,G013,W118,2025-03-01,2025-09-24,208,208,208,1.0,208,1.0,208,1.0,208,1.0,208,1.0
train,G013,W119,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,208,1.0
train,G013,W120,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,208,1.0
train,G013,W253,2025-03-01,2026-02-28,365,363,359,0.9835616438356164,359,0.9835616438356164,359,0.9835616438356164,359,0.9835616438356164,362,0.9917808219178083
train,G014,W043,2025-03-01,2025-09-24,208,208,189,0.9086538461538461,188,0.9038461538461539,188,0.9038461538461539,189,0.9086538461538461,203,0.9759615384615384
train,G014,W044,2025-03-01,2025-09-24,208,208,8,0.038461538461538464,8,0.038461538461538464,8,0.038461538461538464,8,0.038461538461538464,208,1.0
train,G014,W045,2025-03-01,2025-09-24,208,208,12,0.057692307692307696,12,0.057692307692307696,12,0.057692307692307696,12,0.057692307692307696,207,0.9951923076923077
train,G014,W127,2025-03-01,2025-09-24,208,208,187,0.8990384615384616,187,0.8990384615384616,187,0.8990384615384616,187,0.8990384615384616,208,1.0
train,G014,W128,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,208,1.0
