WELL_GROUP_NAME,注汽井数,生产井数,拓扑
G001,3,1,3I-1P
G002,4,1,4I-1P
G003,4,1,4I-1P
G004,4,1,4I-1P
G005,4,1,4I-1P
G006,5,1,5I-1P
G007,4,1,4I-1P
G008,4,1,4I-1P
G009,2,1,2I-1P
G010,4,1,4I-1P
G011,8,1,8I-1P
G012,6,1,6I-1P
G013,4,1,4I-1P
G014,7,1,7I-1P
G015,4,1,4I-1P
G016,5,1,5I-1P
G017,6,1,6I-1P
G018,6,1,6I-1P
G019,6,1,6I-1P
G020,6,1,6I-1P
G021,5,1,5I-1P
G022,5,1,5I-1P
G023,1,1,1I-1P
G024,1,1,1I-1P
G025,1,1,1I-1P
G026,1,1,1I-1P
G027,2,1,2I-1P
G028,2,1,2I-1P
G029,1,1,1I-1P
G030,1,1,1I-1P
G031,1,1,1I-1P
G032,1,1,1I-1P
G033,1,1,1I-1P
G034,6,1,6I-1P
G035,2,1,2I-1P
G036,7,1,7I-1P
G037,7,1,7I-1P
G038,7,1,7I-1P
G039,7,1,7I-1P
G040,8,1,8I-1P
G041,4,1,4I-1P
G042,1,1,1I-1P
G043,6,1,6I-1P
G044,8,1,8I-1P
G045,8,1,8I-1P
G046,8,1,8I-1P
G047,8,1,8I-1P
G048,4,1,4I-1P
G049,5,1,5I-1P
G050,6,1,6I-1P
G051,2,1,2I-1P
G052,2,1,2I-1P
G053,2,1,2I-1P
G054,2,1,2I-1P
G055,2,1,2I-1P
G056,2,1,2I-1P
G057,1,1,1I-1P
G058,5,1,5I-1P
G059,4,1,4I-1P
G060,4,1,4I-1P
G061,4,1,4I-1P
G062,4,1,4I-1P
G063,4,1,4I-1P
G064,2,1,2I-1P
G065,5,1,5I-1P
G066,5,1,5I-1P
G067,2,1,2I-1P
G068,3,1,3I-1P
G069,6,1,6I-1P
G070,6,1,6I-1P
G071,7,1,7I-1P
G072,4,1,4I-1P
G073,2,1,2I-1P
G074,4,1,4I-1P
G075,6,1,6I-1P
G076,6,1,6I-1P
G077,6,1,6I-1P
G078,4,1,4I-1P
G079,4,2,4I-2P
G080,2,2,2I-2P
G081,2,1,2I-1P
G082,1,1,1I-1P
G083,6,1,6I-1P
G084,3,2,3I-2P
G085,1,1,1I-1P
G086,1,1,1I-1P
G087,4,1,4I-1P
G088,3,1,3I-1P
G089,5,1,5I-1P
G090,3,1,3I-1P
G091,5,1,5I-1P
G092,5,1,5I-1P
G093,3,1,3I-1P
G094,8,1,8I-1P
G095,8,1,8I-1P
G096,6,1,6I-1P
G097,6,1,6I-1P
G098,1,1,1I-1P
G099,2,1,2I-1P
G100,1,1,1I-1P
G101,1,1,1I-1P
G102,2,1,2I-1P
G103,1,1,1I-1P
G104,1,1,1I-1P
G105,2,1,2I-1P
G106,1,1,1I-1P
G107,1,1,1I-1P
G108,2,1,2I-1P
G109,2,1,2I-1P
G110,2,1,2I-1P
G111,2,1,2I-1P
G112,1,1,1I-1P
