WELL_GROUP_NAME,PROD_DATE,INJ_INDICATOR,PROD_INDICATOR,OPTIMAL_LAG_DAYS
G001,2025/03/20 00:00:00,INJ_VOL_DAILY,LIQ_PROD_DAILY,1
G001,2025/03/20 00:00:00,INJ_VOL_DAILY,MAX_TUBING_PRES,1
G001,2025/03/20 00:00:00,INJ_VOL_DAILY,OIL_PROD_DAILY,1
G001,2025/03/20 00:00:00,INJ_VOL_DAILY,WATER_CUT,1
G001,2025/03/20 00:00:00,INJ_VOL_DAILY,WH_TEMP,1
G002,2025/03/20 00:00:00,INJ_VOL_DAILY,LIQ_PROD_DAILY,0
G002,2025/03/20 00:00:00,INJ_VOL_DAILY,MAX_TUBING_PRES,28
G002,2025/03/20 00:00:00,INJ_VOL_DAILY,OIL_PROD_DAILY,3
G002,2025/03/20 00:00:00,INJ_VOL_DAILY,WATER_CUT,3
G002,2025/03/20 00:00:00,INJ_VOL_DAILY,WH_TEMP,1
G003,2025/03/20 00:00:00,INJ_VOL_DAILY,LIQ_PROD_DAILY,40
G003,2025/03/20 00:00:00,INJ_VOL_DAILY,MAX_TUBING_PRES,3
G003,2025/03/20 00:00:00,INJ_VOL_DAILY,OIL_PROD_DAILY,29
G003,2025/03/20 00:00:00,INJ_VOL_DAILY,WATER_CUT,24
G003,2025/03/20 00:00:00,INJ_VOL_DAILY,WH_TEMP,2
G004,2025/03/20 00:00:00,INJ_VOL_DAILY,LIQ_PROD_DAILY,0
G004,2025/03/20 00:00:00,INJ_VOL_DAILY,MAX_TUBING_PRES,0
G004,2025/03/20 00:00:00,INJ_VOL_DAILY,OIL_PROD_DAILY,0
G004,2025/03/20 00:00:00,INJ_VOL_DAILY,WATER_CUT,0
G004,2025/03/20 00:00:00,INJ_VOL_DAILY,WH_TEMP,0
G005,2025/03/20 00:00:00,INJ_VOL_DAILY,LIQ_PROD_DAILY,0
G005,2025/03/20 00:00:00,INJ_VOL_DAILY,MAX_TUBING_PRES,41
G005,2025/03/20 00:00:00,INJ_VOL_DAILY,OIL_PROD_DAILY,40
G005,2025/03/20 00:00:00,INJ_VOL_DAILY,WATER_CUT,40
