WELL_GROUP_ID,WELL_GROUP_NAME,WELL_ID,WELL_NAME,WELL_PURPOSE,CANTON,ORG_NAME,BLOCK,CONVERT_DATE,PROD_DATE
GI034,G034,WI275,W275,生产井,区域1,站点1,区块1,2013/01/08 00:00:00,2026/01/11 00:00:00
GI035,G035,WI276,W276,生产井,区域1,站点1,区块1,2013/01/08 00:00:00,2026/01/11 00:00:00
GI041,G041,WI282,W282,生产井,区域1,站点1,区块1,2013/01/08 00:00:00,2026/01/11 00:00:00
GI039,G039,WI280,W280,生产井,区域1,站点1,区块1,2013/01/08 00:00:00,2026/01/11 00:00:00
GI040,G040,WI281,W281,生产井,区域1,站点1,区块1,2013/01/08 00:00:00,2026/01/11 00:00:00
GI043,G043,WI001,W001,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI043,G043,WI002,W002,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI044,G044,WI002,W002,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI043,G043,WI011,W011,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI044,G044,WI011,W011,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI044,G044,WI003,W003,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI045,G045,WI003,W003,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI001,G001,WI025,W025,注汽井,区域1,站点1,区块1,2020/01/11 00:00:00,2026/01/11 00:00:00
GI072,G072,WI029,W029,注汽井,区域1,站点1,区块1,2023/01/03 00:00:00,2026/01/11 00:00:00
GI087,G087,WI066,W066,注汽井,区域1,站点1,区块1,2023/01/03 00:00:00,2026/01/11 00:00:00
GI080,G080,WI328,W328,生产井,区域1,站点1,区块1,2023/01/03 00:00:00,2026/01/11 00:00:00
GI083,G083,WI331,W331,生产井,区域1,站点1,区块1,2023/01/03 00:00:00,2026/01/11 00:00:00
GI084,G084,WI332,W332,生产井,区域1,站点1,区块1,2023/01/03 00:00:00,2026/01/11 00:00:00
GI082,G082,WI330,W330,生产井,区域1,站点1,区块1,2024/01/05 00:00:00,2026/01/11 00:00:00
GI085,G085,WI333,W333,生产井,区域1,站点1,区块1,2024/01/05 00:00:00,2026/01/11 00:00:00
GI081,G081,WI329,W329,生产井,区域1,站点1,区块1,2024/01/05 00:00:00,2026/01/11 00:00:00
GI017,G017,WI132,W132,注汽井,区域1,站点1,区块1,2024/01/04 00:00:00,2026/01/11 00:00:00
GI018,G018,WI141,W141,注汽井,区域1,站点1,区块1,2024/01/04 00:00:00,2026/01/11 00:00:00
GI018,G018,WI139,W139,注汽井,区域1,站点1,区块1,2024/01/04 00:00:00,2026/01/11 00:00:00
GI018,G018,WI140,W140,注汽井,区域1,站点1,区块1,2024/01/04 00:00:00,2026/01/11 00:00:00
GI045,G045,WI004,W004,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI046,G046,WI004,W004,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI045,G045,WI017,W017,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI046,G046,WI017,W017,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI047,G047,WI023,W023,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI048,G048,WI023,W023,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI044,G044,WI014,W014,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI045,G045,WI014,W014,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI047,G047,WI022,W022,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI048,G048,WI022,W022,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI046,G046,WI020,W020,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI047,G047,WI020,W020,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI047,G047,WI006,W006,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI048,G048,WI006,W006,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI046,G046,WI005,W005,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI047,G047,WI005,W005,注汽井,区域1,站点1,区块1,2022/01/01 00:00:00,2026/01/11 00:00:00
GI010,G010,WI088,W088,注汽井,区域1,站点1,区块1,2024/01/04 00:00:00,2026/01/11 00:00:00
GI050,G050,WI298,W298,生产井,区域1,站点1,区块1,2023/01/03 00:00:00,2026/01/11 00:00:00
GI065,G065,WI313,W313,生产井,区域1,站点1,区块1,2023/01/03 00:00:00,2026/01/11 00:00:00
GI052,G052,WI300,W300,生产井,区域1,站点1,区块1,2024/01/05 00:00:00,2026/01/11 00:00:00
GI053,G053,WI301,W301,生产井,区域1,站点1,区块1,2024/01/05 00:00:00,2026/01/11 00:00:00
GI049,G049,WI297,W297,生产井,区域1,站点1,区块1,2023/01/03 00:00:00,2026/01/11 00:00:00
GI091,G091,WI037,W037,注汽井,区域1,站点1,区块1,2022/01/03 00:00:00,2026/01/11 00:00:00
GI092,G092,WI037,W037,注汽井,区域1,站点1,区块1,2022/01/03 00:00:00,2026/01/11 00:00:00
GI063,G063,WI038,W038,注汽井,区域1,站点1,区块1,2022/01/03 00:00:00,2026/01/11 00:00:00
GI091,G091,WI038,W038,注汽井,区域1,站点1,区块1,2022/01/03 00:00:00,2026/01/11 00:00:00
GI030,G030,WI271,W271,生产井,区域1,站点1,区块1,2024/01/07 00:00:00,2026/01/11 00:00:00
GI031,G031,WI272,W272,生产井,区域1,站点1,区块1,2024/01/07 00:00:00,2026/01/11 00:00:00
GI022,G022,WI146,W146,注汽井,区域1,站点1,区块1,2024/01/04 00:00:00,2026/01/11 00:00:00
GI022,G022,WI060,W060,注汽井,区域1,站点1,区块1,2024/01/04 00:00:00,2026/01/11 00:00:00
GI022,G022,WI145,W145,注汽井,区域1,站点1,区块1,2024/01/04 00:00:00,2026/01/11 00:00:00
