WELL_NAME,WELL_GROUP_NAME,PROD_DATE,LIQ_PROD_DAILY,OIL_PROD_DAILY,WATER_CUT,WH_TEMP,MAX_TUBING_PRES
W329,G081,2025/07/09 00:00:00,1.4,0.01,99.1,75.0,0.22
W329,G081,2025/07/10 00:00:00,1.4,0.01,99.1,77.0,0.24
W329,G081,2025/07/11 00:00:00,1.4,0.04,96.9,76.0,0.23
W329,G081,2025/07/12 00:00:00,1.4,0.14,90.1,75.0,0.21
W329,G081,2025/07/13 00:00:00,1.4,0.14,90.1,75.0,0.2
W329,G081,2025/07/14 00:00:00,1.4,0.14,90.1,75.0,0.16
W329,G081,2025/07/15 00:00:00,1.4,0.01,99.1,40.0,0.15
W329,G081,2025/07/16 00:00:00,1.4,0.01,99.1,38.0,0.16
W329,G081,2025/07/17 00:00:00,1.4,0.01,99.1,35.0,0.16
W329,G081,2025/07/18 00:00:00,1.4,0.01,99.1,35.0,0.12
W329,G081,2025/07/19 00:00:00,1.4,0.01,99.1,35.0,0.1
W329,G081,2025/07/20 00:00:00,1.4,0.01,99.1,35.0,0.12
W329,G081,2025/07/21 00:00:00,1.4,0.01,99.1,35.0,0.1
W329,G081,2025/07/22 00:00:00,1.4,0.01,99.1,35.0,0.12
W329,G081,2025/07/23 00:00:00,1.4,0.02,98.7,35.0,0.1
W329,G081,2025/07/24 00:00:00,1.4,0.02,98.7,35.0,0.12
W329,G081,2025/07/25 00:00:00,1.4,0.02,98.7,35.0,0.15
W329,G081,2025/07/26 00:00:00,1.4,0.1,93.2,85.0,0.2
W329,G081,2025/07/27 00:00:00,1.4,0.1,93.2,50.0,0.18
W329,G081,2025/07/28 00:00:00,1.4,0.1,93.2,55.0,0.15
W329,G081,2025/07/29 00:00:00,1.4,0.18,87.5,50.0,0.1
W329,G081,2025/07/30 00:00:00,1.4,0.18,87.5,40.0,0.12
W329,G081,2025/07/31 00:00:00,1.4,0.18,87.5,40.0,0.15
W329,G081,2025/08/01 00:00:00,1.4,0.18,87.5,40.0,0.15
W329,G081,2025/08/02 00:00:00,1.4,0.18,87.5,55.0,0.15
W329,G081,2025/08/03 00:00:00,1.4,0.18,87.5,38.0,0.11
W329,G081,2025/08/04 00:00:00,1.4,0.18,87.5,38.0,0.1
W329,G081,2025/08/05 00:00:00,1.4,0.15,89.2,38.0,0.11
W329,G081,2025/08/06 00:00:00,1.4,0.15,89.2,38.0,0.1
W329,G081,2025/08/07 00:00:00,1.4,0.15,89.2,36.0,0.12
W329,G081,2025/08/08 00:00:00,1.4,0.15,89.2,33.0,0.12
W329,G081,2025/08/09 00:00:00,1.4,0.15,89.2,33.0,0.12
W329,G081,2025/08/10 00:00:00,1.4,0.15,89.2,33.0,0.12
W329,G081,2025/08/11 00:00:00,,,,,0.0
W329,G081,2025/08/12 00:00:00,,,,,0.0
W329,G081,2025/08/13 00:00:00,,,,,0.0
W329,G081,2025/08/14 00:00:00,2.2,0.02,99.1,63.0,0.1
W329,G081,2025/08/15 00:00:00,2.2,0.02,99.1,63.0,0.14
W329,G081,2025/08/16 00:00:00,2.2,0.02,99.1,53.0,0.1
W329,G081,2025/08/17 00:00:00,,,,,0.0
W329,G081,2025/08/18 00:00:00,,,,,
W329,G081,2025/08/19 00:00:00,1.4,0.04,97.2,79.0,0.3
W329,G081,2025/08/20 00:00:00,1.4,0.13,90.7,77.0,0.21
W329,G081,2025/08/21 00:00:00,5.4,0.63,88.3,75.0,0.2
W329,G081,2025/08/22 00:00:00,4.7,0.68,85.5,76.0,0.18
W329,G081,2025/08/23 00:00:00,6.1,0.88,85.5,79.0,0.21
W329,G081,2025/08/24 00:00:00,5.4,0.78,85.5,78.0,0.22
W329,G081,2025/08/25 00:00:00,6.1,0.88,85.5,78.0,0.23
W329,G081,2025/08/26 00:00:00,25.4,0.28,98.9,74.0,0.2
W329,G081,2025/08/27 00:00:00,45.4,0.5,98.9,75.0,0.15
W329,G081,2025/08/28 00:00:00,54.0,0.59,98.9,75.0,0.16
W329,G081,2025/08/29 00:00:00,54.0,0.49,99.1,72.0,0.12
W329,G081,2025/08/30 00:00:00,54.7,2.57,95.3,76.0,0.15
W329,G081,2025/08/31 00:00:00,56.1,2.64,95.3,76.0,0.16
W339,G086,2025/08/22 00:00:00,6.3,1.23,80.5,75.0,0.18
W339,G086,2025/08/23 00:00:00,6.3,0.83,86.86,74.0,0.2
W339,G086,2025/08/24 00:00:00,6.3,0.83,86.86,74.0,0.18
W339,G086,2025/08/25 00:00:00,6.3,0.83,86.86,74.0,0.17
W339,G086,2025/08/26 00:00:00,6.3,0.07,98.9,74.0,0.2
W339,G086,2025/08/27 00:00:00,6.3,0.07,98.89,76.0,0.21
W339,G086,2025/08/28 00:00:00,6.3,0.08,98.7,75.0,0.2
W339,G086,2025/08/29 00:00:00,6.3,0.11,98.32,75.0,0.22
W339,G086,2025/08/30 00:00:00,6.3,0.59,90.67,77.0,0.2
W339,G086,2025/07/01 00:00:00,2.9,0.16,94.4,78.0,0.2
W339,G086,2025/07/02 00:00:00,2.9,0.03,99.0,74.0,0.21
W339,G086,2025/07/03 00:00:00,1.3,0.01,99.0,75.0,0.2
W339,G086,2025/07/04 00:00:00,1.3,0.01,99.0,76.0,0.22
W339,G086,2025/07/05 00:00:00,1.3,0.01,99.0,75.0,0.21
W339,G086,2025/07/06 00:00:00,1.3,0.01,99.0,75.0,0.22
W339,G086,2025/07/07 00:00:00,1.3,0.01,99.0,75.0,0.21
W339,G086,2025/07/08 00:00:00,1.3,0.08,93.8,75.0,0.22
W339,G086,2025/07/09 00:00:00,9.9,0.61,93.8,78.0,0.21
W339,G086,2025/07/10 00:00:00,3.6,0.22,93.8,77.0,0.22
W339,G086,2025/07/11 00:00:00,1.5,0.02,98.5,76.0,0.23
W339,G086,2025/07/12 00:00:00,1.5,0.01,99.5,74.0,0.24
W350,G056,2025/07/02 00:00:00,,,,,
W350,G056,2025/07/03 00:00:00,,,,,
